State,year,Business,Holiday,Other,Visiting
ACT,1998,481.3948846,604.140999,94.5573815,672.7617353
ACT,1999,592.3951572,628.0265662,80.844788,679.211085
ACT,2000,613.6926217,581.8624057,148.550591,747.0918229
ACT,2001,519.6329844,710.0094104,81.4831898,777.7680113
ACT,2002,625.8643838,602.7649721,102.5340326,642.6326188
ACT,2003,485.5537236,552.7712671,107.0438062,799.3072001
ACT,2004,499.2819712,493.6769628,148.8886576,739.2557949
ACT,2005,639.4349049,503.5075496,85.8765747,758.466904
ACT,2006,547.98206,526.45166,91.177074,727.177893
ACT,2007,639.1520682,482.412362,105.1641461,728.5439685
ACT,2008,588.3757444,554.0118116,132.0846432,681.7610815
ACT,2009,492.9559648,527.7586518,97.3020428,609.2529141
ACT,2010,538.2654216,769.391121,118.3861712,654.6232913
ACT,2011,544.9438422,519.7489942,117.2551307,617.4395517
ACT,2012,618.1387293,462.4398744,98.2526428,758.4780448
ACT,2013,583.1984817,642.0414234,103.65994,707.2828182
ACT,2014,512.8450564,568.0714373,115.9373122,760.077692
ACT,2015,655.9758768,552.5130269,174.2063895,812.2994987
ACT,2016,754.8473044,732.627117,175.2399158,796.1860267
New South Wales,1998,5280.587048,13058.40198,1063.893875,9832.943855
New South Wales,1999,5410.605923,12480.98549,1075.750118,9530.918101
New South Wales,2000,5227.085915,12598.91507,1126.099507,8938.792085
New South Wales,2001,5675.472236,12003.04052,1126.861587,9393.670705
New South Wales,2002,5618.564433,12440.45876,1156.708318,10290.6741
New South Wales,2003,5344.405875,11955.76073,989.9926418,10319.37848
New South Wales,2004,4903.226335,11643.02004,916.4462302,10365.83167
New South Wales,2005,4420.648405,10936.85276,1109.145683,9079.852322
New South Wales,2006,4347.148562,11358.77439,1000.191432,9855.476803
New South Wales,2007,4377.947369,11275.51771,1089.216453,9131.686176
New South Wales,2008,4428.40115,11618.78334,925.8089334,8958.686581
New South Wales,2009,4060.604835,11032.88989,990.5688237,8440.563362
New South Wales,2010,4044.972515,11493.97582,1153.863771,8858.525234
New South Wales,2011,4797.25079,11261.45393,1185.807126,9330.330683
New South Wales,2012,4399.394553,11308.64748,1047.66185,9962.375416
New South Wales,2013,4579.899274,11784.49975,1233.395793,9926.879214
New South Wales,2014,4983.539268,11529.72759,1314.237643,10941.87469
New South Wales,2015,5578.684956,12012.77018,1474.951745,11016.69512
New South Wales,2016,5611.21637,13021.3989,1655.409087,11096.42307
Northern Territory,1998,1223.829172,3409.780313,175.8202041,1407.911572
Northern Territory,1999,1321.179521,3123.24974,260.6535768,1227.75929
Northern Territory,2000,1269.66595,3225.125509,222.7024033,1204.444806
Northern Territory,2001,1153.202826,3047.624314,251.4012598,1177.888347
Northern Territory,2002,1315.011749,3081.504573,237.3923532,1169.845388
Northern Territory,2003,1175.85596,3146.277771,218.541579,1573.989702
Northern Territory,2004,1426.580718,3394.021437,179.7771636,1643.720697
Northern Territory,2005,1194.433179,3131.370399,222.4559299,1432.036715
Northern Territory,2006,1107.462382,3368.719436,275.269518,1383.348482
Northern Territory,2007,1193.969148,3669.717661,229.6942648,1390.819955
Northern Territory,2008,1251.402091,3255.494342,178.4465731,1272.822784
Northern Territory,2009,1092.241826,3325.015935,171.666899,1290.077564
Northern Territory,2010,1069.454302,3306.028388,247.9173775,1126.304836
Northern Territory,2011,1061.889037,3018.141436,242.3293401,1298.768891
Northern Territory,2012,1121.626371,3118.962404,225.4641523,1389.595263
Northern Territory,2013,1035.411763,3199.687249,195.5222542,1390.976637
Northern Territory,2014,1155.713399,3297.442974,257.3904529,1612.292222
Northern Territory,2015,1406.973426,3924.403924,284.853733,1895.876171
Northern Territory,2016,1492.678826,3862.377952,301.9405278,1717.768171
Queensland,1998,3264.453709,7834.006235,525.2665196,5192.444396
Queensland,1999,3878.314387,8643.371076,828.8313975,5166.535805
Queensland,2000,3500.014623,8469.738433,723.9649715,5280.249339
Queensland,2001,3384.274417,8514.578414,942.4856556,5394.880787
Queensland,2002,3475.883368,8701.516762,811.7283109,5702.515137
Queensland,2003,2888.4617,8557.529661,646.1650754,6325.611123
Queensland,2004,3405.741569,8481.968214,795.4003794,6444.928382
Queensland,2005,3309.241377,8051.07834,865.9949402,6094.891359
Queensland,2006,3423.629123,8681.347187,717.049142,5989.524154
Queensland,2007,3836.358695,8856.72044,807.8172328,6429.797501
Queensland,2008,3373.90379,8662.99429,680.3338527,5973.684261
Queensland,2009,2947.174321,8368.113854,726.0579652,5567.374948
Queensland,2010,3690.477418,8271.212391,963.4231072,5781.208602
Queensland,2011,3688.546713,7993.7475,905.4114737,6114.470461
Queensland,2012,3405.102962,8445.139756,1056.198814,6746.524652
Queensland,2013,3472.273094,8362.109232,908.0567298,6511.311499
Queensland,2014,4168.144589,7990.17349,1013.4332,6779.210218
Queensland,2015,4829.126085,8282.920333,1156.106373,7267.820835
Queensland,2016,4649.91638,9109.65488,1199.412639,7627.95082
South Australia,1998,1012.252233,2792.761827,252.9348033,1732.118397
South Australia,1999,1048.215587,2794.949708,228.47013,1767.299031
South Australia,2000,1424.851746,2847.000681,310.1696566,1761.820536
South Australia,2001,1094.082805,2661.517725,300.8542358,1808.558521
South Australia,2002,1268.471108,2607.292057,262.3732713,1869.511325
