LGA_CODE_2016,LGA_NAME_2016,SSC_CODE_2016,SSC_NAME_2016,STATE_NAME
20110,Alpine (S),22458,TAWONGA,Victoria
20110,Alpine (S),20334,BRIGHT,Victoria
20110,Alpine (S),22459,TAWONGA SOUTH,Victoria
20110,Alpine (S),22090,POREPUNKAH,Victoria
20110,Alpine (S),21760,MOUNT BEAUTY,Victoria
20110,Alpine (S),21000,GLEN CREEK,Victoria
20110,Alpine (S),21133,HARRIETVILLE,Victoria
20110,Alpine (S),20900,FALLS CREEK,Victoria
20110,Alpine (S),20720,DEDERANG,Victoria
20110,Alpine (S),21323,KERGUNYAH SOUTH,Victoria
20110,Alpine (S),21110,GUNDOWRING,Victoria
20110,Alpine (S),22602,UPPER GUNDOWRING,Victoria
20110,Alpine (S),22286,SMOKO,Victoria
20110,Alpine (S),21198,HOTHAM HEIGHTS,Victoria
20110,Alpine (S),22812,WONGUNGARRA,Victoria
20110,Alpine (S),22813,WONNANGATTA,Victoria
20110,Alpine (S),20706,DARGO,Victoria
20110,Alpine (S),20591,COBUNGRA,Victoria
20110,Alpine (S),22248,SELWYN,Victoria
20110,Alpine (S),20754,DINNER PLAIN,Victoria
20110,Alpine (S),21765,MOUNT BUFFALO,Victoria
20110,Alpine (S),20633,CORAL BANK,Victoria
20110,Alpine (S),20980,GERMANTOWN,Victoria
20110,Alpine (S),20366,BUCKLAND,Victoria
20110,Alpine (S),22658,WANDILIGONG,Victoria
20110,Alpine (S),21814,MUDGEGONGA,Victoria
20110,Alpine (S),21284,KANCOONA,Victoria
20110,Alpine (S),22201,RUNNING CREEK,Victoria
20110,Alpine (S),20944,FREEBURGH,Victoria
20110,Alpine (S),20887,EUROBIN,Victoria
20110,Alpine (S),21717,MONGANS BRIDGE,Victoria
20110,Alpine (S),21851,MYRTLEFORD,Victoria
20110,Alpine (S),20374,BUFFALO RIVER,Victoria
20110,Alpine (S),20158,BARWIDGEE,Victoria
20110,Alpine (S),20957,GAPSTED,Victoria
20110,Alpine (S),22009,OVENS,Victoria
20110,Alpine (S),21140,HAVILAH,Victoria
20110,Alpine (S),22190,ROSEWHITE,Victoria
20110,Alpine (S),21966,NUG NUG,Victoria
20110,Alpine (S),21650,MERRIANG SOUTH,Victoria
20110,Alpine (S),21649,MERRIANG,Victoria
20110,Alpine (S),20001,ABBEYARD,Victoria
20110,Alpine (S),20705,DANDONGADALE,Victoria
